generated_at,scans_included,scans_available,severity_scope,validation_scope,finding_id,finding_name,severity,scan_count,affected_scans,validation_summary,host_count,affected_hosts,cves,cvss_v3,cvss_v2,cpe,exploit_available,patch_publication_date,vulnerability_publication_date,technical_details,description,solution,evidence,references
2026-06-12 12:32:22,2,26,None,All,190714,Ubuntu 18.04 LTS / 20.04 LTS / 22.04 LTS / 23.10 : NPM IP vulnerability (USN-6643-1),Critical,1,docker-host,Unreviewed: 1,1,10.54.29.207,,9.8,10.0,"cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:20.04:-:lts
cpe:/o:canonical:ubuntu_linux:22.04:-:lts
cpe:/o:canonical:ubuntu_linux:23.10
p-cpe:/a:canonical:ubuntu_linux:node-ip",Exploits are available,2024/02/19,2024/02/08,,"The remote Ubuntu 18.04 LTS / 20.04 LTS / 22.04 LTS / 23.10 host has a package installed that is affected by a
vulnerability as referenced in the USN-6643-1 advisory.

    Emre Durmaz discovered that NPM IP package incorrectly distinguished between private and public IP
    addresses. A remote attacker could possibly use this issue to perform Server-Side Request Forgery (SSRF)
    attacks.

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.",Update the affected node-ip package.,"Entry 1
Scan: docker-host
Target: 10.54.29.207 (tcp)
Service: 0 / tcp /
NOTE: This vulnerability check contains fixes that apply to packages only 
available in Ubuntu ESM repositories. Access to these package security updates 
require an Ubuntu Pro subscription.


  - Installed package : node-ip_1.1.5+~1.1.0-1
  - Fixed package     : node-ip_1.1.5+~1.1.0-1ubuntu0.1~esm1","CVE References - CVE-2023-42282: https://nvd.nist.gov/vuln/detail/CVE-2023-42282
USN References - 6643-1: http://www.ubuntu.com/usn/usn-6643-1"
2026-06-12 12:32:22,2,26,None,All,304671,nginx 1.3.0 < 1.28.2 / 1.29.x < 1.29.5 SSL Upstream Injection,Medium,1,docker-host,Unreviewed: 1,1,10.54.29.207,CVE-2026-1642,5.9,7.1,cpe:/a:igor_sysoev:nginx,No known exploits are available,2026/02/04,2026/02/04,,"According to its Server response header, the installed version of nginx is 1.3.0 prior to 1.28.2, or 1.29.x prior to
1.29.5. It is, therefore, affected by the following issue :

  - A vulnerability exists in NGINX OSS and NGINX Plus when configured to proxy to upstream Transport Layer Security
    (TLS) servers. An attacker with a man-in-the-middle (MITM) position on the upstream server side--along with
    conditions beyond the attacker's control--may be able to inject plain text data into the response from an upstream
    proxied server. Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated.
    (CVE-2026-1642)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.",Upgrade to nginx 1.28.2 / 1.29.5 or later.,"Entry 1
Scan: docker-host
Target: 10.54.29.207:3002 (www)
Service: 3002 / tcp / www
URL               : http://10.54.29.207:3002/
  Installed version : 1.27.5
  Fixed version     : 1.28.2","CVE References - CVE-2026-1642: https://nvd.nist.gov/vuln/detail/CVE-2026-1642
IAVA References - 2026-A-0280: 2026-A-0280"
2026-06-12 12:32:22,2,26,None,All,51192,SSL Certificate Cannot Be Trusted,Medium,1,docker-host,Unreviewed: 1,1,10.54.29.207,,6.5,6.4,,,,,,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"Entry 1
Scan: docker-host
Target: 10.54.29.207:9090 (www)
Service: 9090 / tcp / www
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : O=72bac9c629ae4eb9a1ed63f93c0f643b/CN=PENTEST-NESSUS
|-Issuer  : O=72bac9c629ae4eb9a1ed63f93c0f643b/CN=PENTEST-NESSUS",
2026-06-12 12:32:22,2,26,None,All,57582,SSL Self-Signed Certificate,Medium,1,docker-host,Unreviewed: 1,1,10.54.29.207,,6.5,6.4,,,,,,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"Entry 1
Scan: docker-host
Target: 10.54.29.207:9090 (www)
Service: 9090 / tcp / www
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : O=72bac9c629ae4eb9a1ed63f93c0f643b/CN=PENTEST-NESSUS",
2026-06-12 12:32:22,2,26,None,All,296750,Ubuntu 14.04 LTS / 16.04 LTS / 18.04 LTS / 20.04 LTS / 22.04 LTS / 24.04 LTS : Form-Data vulnerability (USN-7976-1),Medium,1,docker-host,Unreviewed: 1,1,10.54.29.207,,6.5,6.1,"cpe:/o:canonical:ubuntu_linux:14.04:-:lts
cpe:/o:canonical:ubuntu_linux:16.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:20.04:-:lts
cpe:/o:canonical:ubuntu_linux:22.04:-:lts
cpe:/o:canonical:ubuntu_linux:24.04:-:lts
p-cpe:/a:canonical:ubuntu_linux:node-form-data",Exploits are available,2026/01/26,2025/07/18,,"The remote Ubuntu 14.04 LTS / 16.04 LTS / 18.04 LTS / 20.04 LTS / 22.04 LTS / 24.04 LTS host has a package installed
that is affected by a vulnerability as referenced in the USN-7976-1 advisory.

    Ben Shonaldmann discovered that Form-data incorrectly generated boundary values for multipart form-encoded
    data, leading to predictable values. A remote attacker could possibly use this issue to make arbitrary
    requests to internal systems.

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.",Update the affected node-form-data package.,"Entry 1
Scan: docker-host
Target: 10.54.29.207 (tcp)
Service: 0 / tcp /
NOTE: This vulnerability check contains fixes that apply to packages only 
available in Ubuntu ESM repositories. Access to these package security updates 
require an Ubuntu Pro subscription.


  - Installed package : node-form-data_3.0.1-1
  - Fixed package     : node-form-data_3.0.1-1ubuntu0.1~esm1","CVE References - CVE-2025-7783: https://nvd.nist.gov/vuln/detail/CVE-2025-7783
USN References - 7976-1: http://www.ubuntu.com/usn/usn-7976-1"
2026-06-12 12:32:22,2,26,None,All,48204,Apache HTTP Server Version,Info,1,docker-host,Unreviewed: 1,1,10.54.29.207,,,,cpe:/a:apache:http_server,,,,,"The remote host is running the Apache HTTP Server, an open source web
server. It was possible to read the version number from the banner.",n/a,"Entry 1
Scan: docker-host
Target: 10.54.29.207:8082 (www)
Service: 8082 / tcp / www
URL        : http://10.54.29.207:8082/
  Version    : 2.4.25
  Source     : Server: Apache/2.4.25 (Debian)
  backported : 1
  os         : Debian","IAVT References - 0001-T-0530: 0001-T-0530
IAVT References - 0001-T-0030: 0001-T-0030"
2026-06-12 12:32:22,2,26,None,All,39520,Backported Security Patch Detection (SSH),Info,1,docker-host,Unreviewed: 1,1,10.54.29.207,,,,,,,,,"Security patches may have been 'backported' to the remote SSH server
without changing its version number. 

Banner-based checks have been disabled to avoid false positives. 

Note that this test is informational only and does not denote any
security problem.",n/a,"Entry 1
Scan: docker-host
Target: 10.54.29.207:22 (ssh)
Service: 22 / tcp / ssh
Local checks have been enabled.",
2026-06-12 12:32:22,2,26,None,All,39521,Backported Security Patch Detection (WWW),Info,1,docker-host,Unreviewed: 1,1,10.54.29.207,,,,,,,,,"Security patches may have been 'backported' to the remote HTTP server
without changing its version number.

Banner-based checks have been disabled to avoid false positives.

Note that this test is informational only and does not denote any
security problem.",n/a,"Entry 1
Scan: docker-host
Target: 10.54.29.207:8082 (www)
Service: 8082 / tcp / www
Local checks have been enabled.",
2026-06-12 12:32:22,2,26,None,All,34098,BIOS Info (SSH),Info,1,docker-host,Unreviewed: 1,1,10.54.29.207,,,,,,,,,"Using SMBIOS and UEFI, it was possible to get BIOS info.",N/A,"Entry 1
Scan: docker-host
Target: 10.54.29.207 (tcp)
Service: 0 / tcp /
Version      : 6.00
Vendor       : Phoenix Technologies LTD
Release Date : 03/24/2025
UUID         : d0cd4d56-ebb4-4643-5d78-83e72624ce0f
Secure boot  : disabled",
2026-06-12 12:32:22,2,26,None,All,45590,Common Platform Enumeration (CPE),Info,1,docker-host,Unreviewed: 1,1,10.54.29.207,,,,,,,,,"By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.",n/a,"Entry 1
Scan: docker-host
Target: 10.54.29.207 (tcp)
Service: 0 / tcp /
The remote operating system matched the following CPE : 

  cpe:/o:canonical:ubuntu_linux:22.04.5::~~lts~~~ -> Canonical Ubuntu Linux

Following application CPE's matched on the remote system : 

  cpe:/a:apache:http_server:2.4.25 -> Apache Software Foundation Apache HTTP Server
  cpe:/a:docker:docker:29.4.0 -> Docker
  cpe:/a:gnupg:libgcrypt:1.9.4 -> GnuPG Libgcrypt
  cpe:/a:haxx:curl:7.81.0 -> Haxx Curl
  cpe:/a:haxx:libcurl:7.81.0 -> Haxx libcurl
  cpe:/a:igor_sysoev:nginx:1.27.5 -> Nginx
  cpe:/a:linuxfoundation:containerd:2.2.2 -> The Linux Foundation containerd
  cpe:/a:nginx:nginx:1.27.5 -> Nginx
  cpe:/a:nodejs:node.js:12.22.9 -> Nodejs Node.js
  cpe:/a:openbsd:openssh:8.9 -> OpenBSD OpenSSH
  cpe:/a:openbsd:openssh:8.9p1 -> OpenBSD OpenSSH
  cpe:/a:openssl:openssl:3.0.2 -> OpenSSL Project OpenSSL
  cpe:/a:openssl:openssl:8mdsy -> OpenSSL Project OpenSSL
  cpe:/a:tukaani:xz:5.2.5 -> Tukaani XZ
  x-cpe:/a:libndp:libndp:1.8",
